id	input	status	money	addtime	name	skey	list	kminfo
20260730063706241703	吉林	1	10.50	2026-07-30 06:37:07	通道10---接码---①腾讯QQ[接码首次注册卡][85%成功]	0c5ce8bcdd59838a42801a55dbf07652	None	None
20260729215028475179	吉林	1	10.50	2026-07-29 21:50:30	通道10---接码---①腾讯QQ[接码首次注册卡][85%成功]	32ec800eb7da31509584a47a4aa852bb	None	None
20260721233749651341	河北	1	9.00	2026-07-21 23:37:50	通道19---接码---①腾讯QQ[接码首次注册卡][85%成功]	0fbc70bf12d018c9cb3a83bcbde8b5b4	None	None
20260716221907510950	四川	1	6.69	2026-07-16 22:19:09	通道3---发码---注册QQ【全网最低价】	9da83731ec4841531424920faca60f57	None	None
20260720213716981026	5	1	10.10	2026-07-20 21:37:26	通道3---发码---注册QQ【全网最低价】	fcec5d84e819fe7de87d5da4becb799e	None	None
20260731155020511598	3	1	5.61	2026-07-31 15:50:22	通道1---发码---注册QQ【全网最低价】	5e980048ea68cebf406842baaafe6f7f	None	None
20260731085917622144	安徽	1	6.69	2026-07-31 08:59:20	通道3---发码---注册QQ【全网最低价】	b90c01edd29fdb80937313ab2c7c14b9	None	None
20260731150657512599	3	1	4.01	2026-07-31 15:06:58	通道15---发码---注册QQ【缺货买这个纯电信号码卡较多】	1a752e37d47f8782a0d6d076b0d010e6	None	None
20260731090140302774	安徽	1	8.39	2026-07-31 09:01:42	通道10---发码---注册QQ【全网最低价】	451dd0e42a3199e48f7c698883389d2d	None	None
20260801221717194744	2	1	12.99	2026-08-01 22:17:18	通道19---发码---注册QQ【全网最低价】	d88094b159ad317510cb2c71ab427d5b	None	None
20260719124205834523	11	1	6.69	2026-07-19 12:42:08	通道3---发码---注册QQ【全网最低价】	ea1511e061b2ddbe20a9f152691093f6	None	None
20260716231236181928	四川	1	12.99	2026-07-16 23:12:38	通道19---发码---注册QQ【全网最低价】	d68a122a6357acb82d422c6a497b179e	None	None
20260731185512225640	11	1	9.99	2026-07-31 18:55:14	通道18---发码---注册QQ【全网最低价】	cde5ea55ff0bed6909bbad8ba8e9da0b	None	None
20260718163930556556	QQ	1	12.99	2026-07-18 16:39:32	通道19---发码---注册QQ【全网最低价】	18a5c57cb54b61418d4998daf70490e4	None	None
20260718163651449766	QQ	1	12.99	2026-07-18 16:36:53	通道19---发码---注册QQ【全网最低价】	9985f49f828d002166db31ce8c1289a4	None	None
20260802034723248789	江西	1	5.99	2026-08-02 03:47:25	通道1---发码---注册QQ【全网最低价】	4fcda3f03581ed7992937d3e266c7a92	None	None
20260722005646585507	黑龙江	1	6.69	2026-07-22 00:56:47	通道3---发码---注册QQ【全网最低价】	04d1236ead10fbde70ea38581f2473b6	None	None
20260731171244950725	5	1	6.31	2026-07-31 17:12:46	通道3---发码---注册QQ【全网最低价】	e2909fbe194a349a220de6e526c180c9	None	None
20260720200712999030	5	1	10.10	2026-07-20 20:07:14	通道3---发码---注册QQ【全网最低价】	97a193005e5647eaff2ea0a7b703251a	None	None
20260722013539596533	黑龙江	1	6.69	2026-07-22 01:35:41	通道3---发码---注册QQ【全网最低价】	3f81e99154df73501f1b4a6be6c9d455	None	None
20260731090319688528	安徽	1	9.99	2026-07-31 09:03:21	通道18---发码---注册QQ【全网最低价】	792f86878a4a289f64d9c4bf7993f334	None	None
20260722013620200982	黑龙江	1	6.69	2026-07-22 01:36:22	通道3---发码---注册QQ【全网最低价】	2efa07a26454b1db3e39058c2bb46092	None	None
20260729040335921219	湖南	1	12.35	2026-07-29 04:03:36	通道10---接码---①腾讯QQ[接码首次注册卡][85%成功]	9387a9b4ae413c962e33083cc62db3d0	None	None
20260802023219456257	江西	1	6.29	2026-08-02 02:32:21	通道2---发码---注册QQ【全网最低价】	998e0f4d62821cae1b208f5b57fce1a8	None	None
20260725004317225373	新疆	1	9.50	2026-07-25 00:43:19	通道10---接码---①腾讯QQ[接码首次注册卡][85%成功]	0489d23160205a70f766eb7d00c6a400	None	None
20260801223522953969	2	1	12.99	2026-08-01 22:35:24	通道19---发码---注册QQ【全网最低价】	b2899fefd597a6706b57ae77812c57fa	None	None
20260802034541230641	江西	1	6.69	2026-08-02 03:47:54	通道3---发码---注册QQ【全网最低价】	15a6ad07dae55b9739e6944aa07a20bb	None	None
20260803063326130164	11	1	5.91	2026-08-03 06:33:28	通道2---发码---注册QQ【全网最低价】	c14bf77db78d04eb50e128825bc09241	None	None
20260729033427714093	湖南	1	10.50	2026-07-29 03:34:30	通道10---接码---①腾讯QQ[接码首次注册卡][85%成功]	d5edf7fdd0b795be9f5bd80783119b26	None	None
20260731085815643694	安徽	1	6.69	2026-07-31 08:58:18	通道3---发码---注册QQ【全网最低价】	f039e9082ce915956ab821f6dd5411ec	None	None
20260726045734275578	上海	1	9.50	2026-07-26 04:57:35	通道10---接码---①腾讯QQ[接码首次注册卡][85%成功]	a46ae3d140e1565ead2554f23f3307fc	None	None
20260731185247638757	11	1	5.99	2026-07-31 18:52:49	通道1---发码---注册QQ【全网最低价】	a8547fd401bbbc7cee8fb349a6d1fc9a	None	None
20260731164514186217	2	1	4.01	2026-07-31 16:45:17	通道15---发码---注册QQ【缺货买这个纯电信号码卡较多】	435c060a39f22061752b59f3043af544	None	None
20260802082520348982	江西	1	6.69	2026-08-02 08:25:22	通道3---发码---注册QQ【全网最低价】	bb91288a69889285c3d6adc96e6b81db	None	None
20260729040221145191	湖南	1	13.99	2026-07-29 04:02:23	通道19---发码---注册QQ【全网最低价】	9ed6413a3eb891590b39b32623b0c567	None	None
20260716224841245193	四川	1	6.69	2026-07-16 22:48:44	通道3---发码---注册QQ【全网最低价】	c2908518749f10e0a706b66a9f8a045d	None	None
20260717152605114323	QQ	1	6.69	2026-07-17 15:26:07	通道3---发码---注册QQ【全网最低价】	c58221d67365e31fdde6d0eb9f892bd3	None	None
20260722010608817312	黑龙江	1	6.69	2026-07-22 01:06:09	通道3---发码---注册QQ【全网最低价】	001c3b550679640e9e3a253dd03056c5	None	None
20260729033017981461	湖南	1	10.50	2026-07-29 03:30:19	通道10---接码---①腾讯QQ[接码首次注册卡][85%成功]	c3bf178ebb9967894e5325cd8da3d1a3	None	None
20260717202535792893	5	1	8.01	2026-07-17 20:25:36	通道10---发码---注册QQ【全网最低价】	c501be6a2f20dc4c758d9d664ae997dc	None	None
20260802022912899020	江西	1	5.99	2026-08-02 02:29:14	通道1---发码---注册QQ【全网最低价】	5d83436d253bea120c40a4084d2b26c2	None	None
20260801225025579224	2	1	12.99	2026-08-01 22:50:27	通道19---发码---注册QQ【全网最低价】	c50ca8885a8640c7be583a1df786a832	None	None
20260716223343489373	四川	1	6.29	2026-07-16 22:33:45	通道2---发码---注册QQ【全网最低价】	21cc3a01997ff8cb974d4d586ef46ec8	None	None
20260731165455267350	3	1	5.91	2026-07-31 16:54:57	通道2---发码---注册QQ【全网最低价】	8a4ae68e8376132bc62c8e3876cc4d93	None	None
20260729134450745811	5	1	6.69	2026-07-29 13:44:51	通道3---发码---注册QQ【全网最低价】	dcfec5b4008eb7841f2f80c84a02e3bb	None	None
20260718121024336580	QQ	1	12.99	2026-07-18 12:10:25	通道19---发码---注册QQ【全网最低价】	a004c5c02dd09ae1da3f0721f95d3c6d	None	None
20260725001856699270	新疆	1	9.50	2026-07-25 00:18:58	通道10---接码---①腾讯QQ[接码首次注册卡][85%成功]	31726124d3e7152866a5f6ac5e73f6fd	None	None
20260716222405549108	四川	1	5.99	2026-07-16 22:24:06	通道1---发码---注册QQ【全网最低价】	6d579c71ab4e51409c9af2b226062954	None	None
20260722133431705327	黑龙江	1	7.00	2026-07-22 13:34:33	通道2---发码---注册QQ【全网最低价】	cd9ff123aa6e22bbbdb9ad1e76137aa9	None	None
20260716231822518966	四川	1	6.69	2026-07-16 23:18:25	通道3---发码---注册QQ【全网最低价】	e35dd20869ec1d83f33b76b7a91c2cc9	None	None
