1. qq.728.hk	https://qq.728.hk/	已售=5282	库存=2553	其他自动发卡站	有已售	首页 | QQ发卡 - 社交账号自动发卡平台
2. qqzhw.com	https://qqzhw.com/	已售=4079	库存=875	未识别模板	有已售	QQ账号购买|QQ账号批发|购买QQ账号|QQ账号商|QQ小号购买|QQ账号选购平台|QQ号商|qq号购买
3. shopping.qq898.vip	https://shopping.qq898.vip/index.php	已售=5	库存=0	异次元发卡	有已售	亿众 源头出QQ，微信 1
4. 1818lianghao.com	http://1818lianghao.com/	已售=4	库存=0	靓号网/选号站	有已售	QQ靓号平台_买QQ靓号_购买5位/6位/7位/8位qq号_到1818靓号网
5. 123.taoqqhao.com	https://123.taoqqhao.com/	已售=0	库存=29556	卡网列表模板(通用自动发卡)	仅库存/评分	qq小号购买,qq号批发商城,直登qq号,怎么买qq,买qq小号网站,qq号出售平台
6. hyqq99.com	https://hyqq99.com/shop/	已售=0	库存=26893	卡网列表模板(通用自动发卡)	仅库存/评分	海洋QQ游戏商城-唯一TG:@hysc99
7. kaka1880.xyz	https://kaka1880.xyz/shop/	已售=0	库存=18811	卡网列表模板(通用自动发卡)	仅库存/评分	Q批发-卡卡自动发卡网 24h可以下单
8. db866.lol	https://db866.lol/shop/	已售=0	库存=18626	卡网列表模板(通用自动发卡)	仅库存/评分	大冰游戏小号
9. xy0088.top	https://xy0088.top/shop/	已售=0	库存=18162	卡网列表模板(通用自动发卡)	仅库存/评分	自动发卡
10. wxr699.top	https://wxr699.top/shop/	已售=0	库存=18126	卡网列表模板(通用自动发卡)	仅库存/评分	外星人游戏qq小号自助卡网
11. qqhaoma.top	https://qqhaoma.top/shop/	已售=0	库存=18101	卡网列表模板(通用自动发卡)	仅库存/评分	自动发卡
12. hm0880.top	http://hm0880.top/shop/	已售=0	库存=17803	卡网列表模板(通用自动发卡)	仅库存/评分	河马金牌6年号商-24小时自助下单-欢迎游戏搬砖正规商业推广
13. suqi777.top	http://suqi777.top/shop/	已售=0	库存=17537	卡网列表模板(通用自动发卡)	仅库存/评分	苏七永久发卡网
14. qqx2.cn	https://qqx2.cn/	已售=0	库存=17235	卡网列表模板(通用自动发卡)	仅库存/评分	♦️小二飞机：@FCCUU
15. pinzun668.top	https://pinzun668.top/shop/	已售=0	库存=17124	卡网列表模板(通用自动发卡)	仅库存/评分	红狐QQ永久批发网！
16. zzqq.lol	https://zzqq.lol/shop/	已售=0	库存=16598	卡网列表模板(通用自动发卡)	仅库存/评分	专注QQ—3年信誉号商
17. xsh168.top	http://xsh168.top/shop/	已售=0	库存=16230	卡网列表模板(通用自动发卡)	仅库存/评分	自动发卡
18. fendou.lol	https://fendou.lol/shop/	已售=0	库存=5158	卡网列表模板(通用自动发卡)	仅库存/评分	六丫自动发卡
19. hmjf.lol	https://hmjf.lol/shop/	已售=0	库存=4316	卡网列表模板(通用自动发卡)	仅库存/评分	虚心U自动发卡
20. xuxin66.top	http://xuxin66.top/shop/	已售=0	库存=4308	卡网列表模板(通用自动发卡)	仅库存/评分	虚心ZFB自动发卡
21. hm1100.top	https://hm1100.top/shop/	已售=0	库存=4087	卡网列表模板(通用自动发卡)	仅库存/评分	自动发卡
22. 79yj.com	https://79yj.com/	已售=0	库存=3921	卡网列表模板(通用自动发卡)	仅库存/评分	QQ批发商城-QQ号码批发|卖QQ小号批发|买QQ号|QQ不冻结号批发|QQ号码自动发货平台
23. qd93.com	https://qd93.com/	已售=0	库存=3921	卡网列表模板(通用自动发卡)	仅库存/评分	QQ直登小号批发 - QQ靓号网购买QQ号码商城安全购买出售平台
24. tianyu9080.top	https://tianyu9080.top/shop/	已售=0	库存=3877	卡网列表模板(通用自动发卡)	仅库存/评分	批Q号天鱼 发卡网 24h可以自助下单
25. yujuqq.top	https://yujuqq.top/shop/	已售=0	库存=3530	卡网列表模板(通用自动发卡)	仅库存/评分	豫剧QQ商城24小时自助下单
26. xinhe001.lol	https://xinhe001.lol/shop/	已售=0	库存=3272	卡网列表模板(通用自动发卡)	仅库存/评分	星河001飞机@xinghe0010
27. xq0809.top	http://xq0809.top/shop/	已售=0	库存=2707	卡网列表模板(通用自动发卡)	仅库存/评分	自动发卡
28. naimaoqq.top	http://naimaoqq.top/shop/	已售=0	库存=2217	卡网列表模板(通用自动发卡)	仅库存/评分	奶猫QQ自动发卡网
29. daya999.top	http://daya999.top/shop/	已售=0	库存=1891	卡网列表模板(通用自动发卡)	仅库存/评分	自动发卡
30. qw123.lol	https://qw123.lol/shop/	已售=0	库存=1845	卡网列表模板(通用自动发卡)	仅库存/评分	自动发卡
31. qq6666.top	https://qq6666.top/shop/	已售=0	库存=1754	卡网列表模板(通用自动发卡)	仅库存/评分	老鬼QQ
32. ymqq.lol	https://ymqq.lol/shop/	已售=0	库存=1419	卡网列表模板(通用自动发卡)	仅库存/评分	圆梦QQ 飞机@b520y
33. kln166.lol	https://kln166.lol/shop/	已售=0	库存=1388	卡网列表模板(通用自动发卡)	仅库存/评分	库里南 一手QQ号商
34. kln166.top	https://kln166.top/shop/	已售=0	库存=1388	卡网列表模板(通用自动发卡)	仅库存/评分	库里南 一手QQ号商
35. qq8.one	https://qq8.one/	已售=0	库存=1192	卡网列表模板(通用自动发卡)	仅库存/评分	熊猫QQ 飞机@aiqq 四字id
36. kpba.shop	https://kpba.shop/shop/	已售=0	库存=1112	卡网列表模板(通用自动发卡)	仅库存/评分	辉煌【一手货源】
37. o898.com	https://o898.com/shop/	已售=0	库存=1060	卡网列表模板(通用自动发卡)	仅库存/评分	爱Q商城
38. qingtianqq1.top	http://qingtianqq1.top/shop/	已售=0	库存=1011	卡网列表模板(通用自动发卡)	仅库存/评分	静观其变自动发卡
39. maomao888.top	https://maomao888.top/shop/	已售=0	库存=971	卡网列表模板(通用自动发卡)	仅库存/评分	自动发卡
40. qq6666.lol	https://qq6666.lol/shop/	已售=0	库存=859	卡网列表模板(通用自动发卡)	仅库存/评分	自动发卡
41. tszqq.lol	https://tszqq.lol/shop/	已售=0	库存=855	卡网列表模板(通用自动发卡)	仅库存/评分	老黑一手QQ对接 飞机 @cc88918
